Max Stress,Compliance
0.65648,66.83
0.65665,66.178
0.76244,63.362
0.74355,58.925
0.75471,9.7335
0.85004,22.394
0.72685,10.292
0.65524,6.0979
0.67206,17.821
0.80168,46.042
0.75888,53.233
0.74137,39.186
0.63084,29.494
0.71683,17.609
0.77514,33.792
0.79051,58.47
0.75141,58.364
0.78712,41.061
0.7038,57.608
0.55133,50.153
0.71107,7.9069
0.59982,34.521
0.67204,18.898
0.64533,6.3063
0.72129,8.4647
0.65878,10.613
0.55198,51.897
0.8598,31.955
0.57092,54.041
0.76438,13.194
0.64063,6.0376
0.69448,39.827
0.73411,13.916
0.66625,67.563
0.69569,65.989
0.74727,27.428
0.63489,6.0943
0.78814,51.395
0.74108,60.661
0.66719,67.322
0.63626,6.0904
0.81538,30.14
0.94541,43.649
0.75276,56.044
0.58714,56.668
0.53593,44.754
0.79861,56.527
0.84673,24.411
0.76798,42.166
0.72585,6.5255
0.66493,6.1094
0.67735,67.386
0.78527,17.143
0.53596,44.518
0.6473,66.399
0.70079,10.245
0.71866,9.4564
0.77333,20.55
0.61914,65.954
0.678,25.041
0.71657,13.137
0.67587,9.0689
0.62738,25.947
0.80153,22.557
0.67561,7.7108
0.73729,30.204
0.68882,6.2515
0.81033,44.804
0.62707,6.0273
0.56482,42.967
0.60258,60.614
0.77434,12.246
0.84743,32.61
0.79154,46.139
0.66349,6.1352
0.59198,34.354
0.5468,49.626
0.65104,12.237
0.70115,63.53
0.66212,67.286
0.70331,62.2
0.78129,35.902
0.72984,15.459
0.69453,58.246
0.72888,13.006
0.72077,66.456
0.56097,43.523
0.79549,43.972
0.6939,10.917
0.63927,6.193
0.66156,13.258
0.80734,62.221
0.67232,64.577
0.79222,48.931
0.58294,57.312
0.75043,11.715
0.55418,42.349
0.70216,60.847
0.80922,25.432
0.71945,68.088
0.64134,6.2284
0.73326,16.342
0.72572,33.518
0.63478,6.0597
0.59034,57.95
0.92613,40.184
0.78558,36.827
0.59963,60.544
0.67399,65.155
0.61976,62.661
0.82859,17.964
0.74384,29.568
0.61367,62.019
0.64063,6.5671
0.71394,6.4708
0.79633,12.977
0.73069,38.034
0.69268,67.086
0.77183,48.541
0.73669,16.05
0.72623,15.199
0.60658,62.987
0.72675,62.087
0.75675,49.084
0.69914,12.576
0.67176,6.1948
0.77591,62.043
0.69779,41.452
0.64595,66.338
0.68046,6.1184
0.7972,43.523
0.6641,13.34
0.63518,65.35
0.74397,8.9315
0.87267,26.97
0.74343,23.277
0.72882,61.591
0.7685,53.622
0.69632,10.474
0.66929,14.49
0.65451,7.7081
0.57403,54.292
0.5844,38.971
0.75035,8.6176
0.70258,8.0001
0.81928,29.821
0.65259,64.643
0.74748,35.59
0.64146,6.0751
0.66196,6.1239
0.63047,63.347
0.68241,28
0.85524,22.461
0.66944,67.643
0.74439,21.62
0.79444,35.995
0.78252,54.007
0.77477,61.939
0.74223,21.934
0.7174,51.014
0.68259,67.141
0.65993,6.1518
0.77419,44.227
0.67985,25.617
0.80516,15.857
0.77967,13.176
0.68738,58.6
0.70358,69.155
0.76016,9.733
0.78092,48.283
0.74686,10.878
0.74168,68.425
0.71565,58.385
0.81534,25.087
0.68404,54.792
0.68231,32.544
0.72924,60.809
0.67413,19.009
0.62401,6.0139
0.77014,42.888
0.73668,64.998
0.64606,9.95
0.83824,27.056
0.77309,56.219
0.63776,6.0167
0.65652,66.044
0.69485,57.09
0.7595,40.869
0.6576,9.1261
0.90213,32.126
0.75136,34.081
0.76012,66.22
0.56636,52.255
0.67802,65.15
0.77197,52.51
0.82727,27.149
0.66733,65.387
0.87996,30.739
0.71583,11.299
0.73405,23.162
0.55992,52.369
0.79397,37.981
0.75268,56.204
0.65928,67.099
0.75222,66.766
0.91445,35.008
0.66622,65.318
0.7223,6.5127
0.65884,6.0823
0.66865,15.775
0.58115,41.162
0.89474,34.285
0.70588,64.992
0.87629,34.424
0.79577,21.355
0.79233,36.168
0.77436,52.799
0.63702,6.123
0.59273,59.362
0.68337,7.7824
0.74388,31.112
0.71261,12.469
0.84408,21.483
0.56941,53.119
0.6918,8.1763
0.76361,13.711
0.73777,9.4334
0.69578,9.5421
0.77807,17.287
0.71544,63.907
0.73453,30.022
0.84638,24.523
0.71513,8.5542
0.75835,68.255
