Max Stress,Compliance
0.85287,24.322
0.75245,9.5027
0.76856,43.983
0.72756,58.616
0.76322,11.868
0.90556,34.249
0.75183,65.925
0.60415,32.974
0.58294,57.312
0.87267,26.97
0.64146,6.0751
0.831,17.685
0.71777,62.793
0.84638,24.523
0.64546,6.269
0.91496,36.494
0.78671,18.673
0.7566,54.364
0.76591,35.927
0.7287,61.428
0.74447,58.82
0.70674,10.493
0.66384,7.5909
0.72675,62.087
0.77054,48.794
0.62622,6.0392
0.68904,64.973
0.9196,36.374
0.59699,36.131
0.53593,44.754
0.58461,58.605
0.70991,62.546
0.67531,21.39
0.65758,6.1168
0.75888,53.233
0.76584,20.508
0.73668,64.998
0.74401,21.814
0.69287,66.336
0.66022,10.317
0.65681,7.7773
0.75095,64.592
0.66303,6.0611
0.56841,52.889
0.69769,56.391
0.87049,28.683
0.74586,24.727
0.71945,68.088
0.83952,24.671
0.88212,28.837
0.73777,9.4334
0.74152,20.92
0.67396,18.393
0.66948,65.674
0.77454,14.492
0.79766,16.147
0.87588,29.539
0.77021,55.028
0.65871,8.7147
0.67385,64.194
0.65774,6.093
0.75111,30.935
0.62395,6.0787
0.71565,58.385
0.77475,54.389
0.65767,11.781
0.56077,52.316
0.80387,41.074
0.72479,61.345
0.79532,43.239
0.65126,64.957
0.84438,27.031
0.7855,21.365
0.69087,32.958
0.66374,14.931
0.68169,66.086
0.78242,32.56
0.66749,13.965
0.78273,23.484
0.80955,55.783
0.63847,24.986
0.6885,9.5812
0.65554,63.836
0.7507,42.286
0.83401,25.076
0.66206,11.899
0.78669,11.631
0.60383,37.855
0.87544,28.513
0.73452,57.915
0.65411,6.0504
0.70894,62.74
0.77197,52.51
0.67561,7.7108
0.67609,64.013
0.68501,10.059
0.77473,49.805
0.77806,42.393
0.70464,8.3199
0.64984,6.016
0.75401,59.623
0.60788,61.558
0.75979,32.054
0.64134,6.2284
0.778,43.135
0.73011,9.3216
0.79035,56.317
0.71067,38.428
0.66456,13.191
0.67399,65.155
0.76453,59.024
0.63984,64.878
0.63021,6.0905
0.68148,10.016
0.7949,51.469
0.5645,52.704
0.78432,56.17
0.73629,32.469
0.87348,26.676
0.78712,41.061
0.79325,63.862
0.77749,51.286
0.78212,35.918
0.73532,14.075
0.77016,56.865
0.86087,24.898
0.93049,39.42
0.72158,65.257
0.67206,64.792
0.68233,65.157
0.65485,68.086
0.79689,61.396
0.63286,5.9855
0.62378,6.0789
0.66414,6.2447
0.6594,14.756
0.633,6.0225
0.85439,27.347
0.67344,20.522
0.94541,43.649
0.6596,66.65
0.81458,17.841
0.67669,22.18
0.63538,65.266
0.84408,21.483
0.64586,7.311
0.78961,35.568
0.68369,65.189
0.86153,25.073
0.56896,53.929
0.547,51.412
0.80688,27.661
0.7204,32.482
0.76012,66.22
0.68411,6.1339
0.73236,14.743
0.85957,27.612
0.77222,44.831
0.68357,64.535
0.83086,30.82
0.84363,30.705
0.58881,58.081
0.6088,30.451
0.6557,64.547
0.77558,38.774
0.79379,37.246
0.74456,32.457
0.71938,11.638
0.6736,6.1472
0.63489,6.0943
0.66456,64.972
0.7512,12.3
0.63858,64.083
0.68404,54.792
0.64139,64.938
0.69569,65.989
0.67435,7.5123
0.73663,24.181
0.74168,68.425
0.7736,42.996
0.64145,65.839
0.74558,30.799
0.62707,6.0273
0.72534,50.211
0.6983,11.203
0.79497,42.688
0.75079,56.147
0.79993,49.029
0.94308,40.757
0.74518,27.665
0.65923,14.274
0.85798,27.745
0.65077,6.0545
0.54715,45.066
0.6752,67.595
0.67285,6.218
0.63268,6.0427
0.62614,64.247
0.70238,10.852
0.64352,6.02
0.76531,58.111
0.67865,8.0413
0.67444,64.78
0.67344,6.1484
0.74003,20.885
0.76774,51.398
0.79064,40.393
0.78028,49.187
0.79531,49.483
0.74352,26.985
0.70077,7.7425
0.55223,50.812
0.78442,11.869
0.79224,53.698
0.6912,63.436
0.6913,6.2181
0.67054,67.228
0.62848,6.0429
0.77661,61.617
0.73501,62.625
0.64571,6.0848
0.57624,39.683
0.78035,66.374
0.74829,15.348
0.72518,61.714
0.79916,43.619
0.72155,60.428
0.73257,60.495
0.66535,6.0548
0.73647,14.48
0.54181,48.995
0.73295,33.421
0.64172,67.891
0.77309,56.219
0.59814,38.643
0.73922,16.728
0.78482,11.634
0.67979,64.345
0.856,27.724
0.73812,60.996
0.64969,6.317
0.66364,65.015
0.64718,6.051
0.66162,64.497
0.65727,64.679
0.74743,31.617
0.71962,6.4911
0.65623,9.123
0.76923,53.632
0.67017,63.207
0.6565,6.0703
0.75625,60.542
0.69335,66.811
0.79685,17.943
0.77816,48.23
0.74437,21.161
0.75724,10.656
0.73988,58.461
0.80228,52.875
0.78181,13.444
0.92473,40.52
0.63798,26.979
0.67074,6.1369
0.65993,6.1518
0.60877,31.072
