33377,5612.8,11723,19483,20019,18973,20400,16983,23703,17437,52635,59623,19405,11526,52926,31663,59175,0,27380,56627,15048,45652,29475,28388,21857,13154,39560,51849,27092,23453,28974,60004,54568,51245,25134,31427,30645,19364,53081,59672,32423,39295,54896,12625,28268,24418,39434,13342,17855,17168,24235,9802.5,20197,56615,34310,50284,52310,7982.4,9163.9,10768,27402,36456,42823,26927,55736,43430,35442,12480,23415,61137,59501,13499,33001,40525,59289,8541.2,58851,22468,17590,49228,23639,59582,22356,43115,19784,45176,34489,26431,54495,57185,31707,32101,36933,53608,23850,15090,53497,12661,51013,56623,54538,36963,21575,35221,43298,63682
30968,32010,34897,39689,30418,44387,45864,30711,16205,24128,56255,59979,45363,25982,54228,28296,58389,27380,0,57169,41006,48884,13579,15509,25827,21580,42791,52042,27652,41592,12554,58163,53999,53890,39445,13615,14735,35054,54710,59627,37174,46080,55575,37576,15929,38052,15047,39674,13011,41048,14268,28647,36204,58575,16095,48386,53679,27385,33050,24061,15849,42767,28117,40079,55450,47461,17383,21334,37463,60605,61036,35134,24575,21927,59955,28210,58524,12903,35103,51818,49739,59150,48070,47584,45516,48012,22493,9736.1,54197,58660,31566,21632,17490,52792,20062,39270,54864,36754,49724,55571,54067,22052,12273,42688,48533,64874
31562,54970,53235,44625,39332,62487,59889,40865,58060,46692,13068,4829.8,58831,61928,5186.3,33918,11468,56627,57169,0,58660,14100,57254,65783,38735,49495,19101,6544.5,69050,40403,61456,6546.2,8670.1,7459.9,36202,59950,65076,40557,6783.7,7521.2,28559,20818,10508,56889,62683,36121,54620,56166,54944,50873,58979,55789,39967,6360,65632,21533,7387.9,55308,54941,49597,65509,21906,45837,35024,3110.2,14877,66172,50715,37819,8794.4,8859.2,51096,40204,57348,7541.6,55271,4668,58940,43512,13104,65483,4301.9,60819,16453,61476,12783,71409,52526,5867.2,6693.7,30395,72283,62948,7434.1,60166,52125,4396.5,58787,11197,5364,6882.4,50214,61789,24115,18992,14532
41191,10332,11491,15398,25402,7080.2,5932.7,22344,36410,26619,53192,61455,5868.8,21241,54978,40510,61933,15048,41006,58660,0,47781,43238,41466,30131,24281,43459,54674,36348,19959,42530,62859,57155,52866,24252,44965,43900,20230,54996,61725,36228,39970,57256,4240.9,41552,24313,52704,5459.6,32300,9188.9,37910,18285,20481,58213,47714,55368,54149,14783,8629.7,21187,40600,38658,54598,26136,58277,45607,48795,23985,23176,63417,60826,12762,43733,53635,60917,15035,61134,35962,17493,51364,10542,61824,7608.9,44884,5521,47413,46653,40454,57077,58986,38673,44195,50382,56632,36203,7624.2,55445,9957.6,54901,59395,57150,49566,35815,36231,44137,64872
25059,43837,42788,34026,29614,52127,49099,29345,50216,37922,17916,16892,48175,52198,11945,26903,15401,45652,48884,14100,47781,0,50038,58106,29351,39857,11057,11167,61536,29584,53984,17808,15881,9081.3,26379,53032,57757,29966,12191,18511,21234,13479,10573,45961,55108,25771,48041,44918,45234,39816,50871,45972,29379,13274,58839,15796,13383,44948,44122,39516,57591,11420,41752,25944,13759,7568.3,59633,41094,27792,17170,18628,40603,33964,52325,18550,45213,15070,50611,33056,13907,54985,16558,50061,5421.6,50755,7313.7,64366,44134,14148,13441,22637,64854,56835,13802,52150,41296,11850,48751,14239,15502,14647,44868,52690,14996,15390,21147
28391,33851,35725,40598,29328,45764,48149,31829,9985.2,21630,55020,60164,46974,25788,54172,25609,59907,29475,13579,57254,43238,50038,0,12356,25139,21181,42016,51961,23539,42724,7178.1,58459,53586,54211,39745,5638.1,11007,35759,54987,59203,35215,45909,57145,40105,9950.4,38645,20407,41370,15216,42873,6639.9,27499,36726,59057,10365,50225,53201,30422,35908,23930,11166,42843,21730,40031,55505,47495,11126,20900,38138,61677,60615,36733,19830,13171,59502,29812,59222,9775.5,35993,50573,50939,59442,50136,48608,47497,48029,19079,10688,53980,59329,30074,19005,9215.5,52632,12738,40759,54933,36545,48991,55524,53828,13799,12946,42860,47467,65845
36690,33365,35179,42680,33903,43292,46606,36207,10380,25010,62561,68573,45497,21288,62602,34226,68565,28388,15509,65783,41466,58106,12356,0,31110,23091,50295,60460,16363,45928,6365.5,67090,61831,62572,43680,9446.5,3282.7,38908,63417,67648,42109,52549,65715,38504,8854.5,42815,27193,40942,18077,43709,10210,26448,40035,67448,7600.4,59197,61336,28399,34733,25561,4143.1,50150,32800,44141,64090,55458,8600.5,22252,41591,70240,68990,36288,29750,22093,67726,27907,67826,8461.6,38182,58774,48650,67966,48553,56353,45428,56057,12788,18439,62405,67769,37826,8453.9,12795,61105,14343,40993,63388,34458,57530,64075,62196,25112,11523,49264,54531,74237
13231,22309,21769,20391,7939.9,34588,33804,11244,23265,11045,35953,42047,32432,25353,35159,11937,42147,21857,25827,38735,30131,29351,25139,31110,0,11825,21901,33262,34579,20444,27816,41321,35647,34446,16913,27549,31328,13744,35852,41834,14947,23510,38315,27133,28770,15370,31657,27545,20776,25404,24443,19823,14548,40126,33289,34397,34121,21389,23583,12541,30625,20183,28743,17459,37292,26456,34153,13072,15387,43766,42604,21069,16682,32400,41699,20517,41097,23232,15706,32101,39027,41502,35620,27167,34487,27296,39033,21503,35778,40561,11068,37785,32863,34621,26347,24486,35900,26856,31609,37827,35710,26228,27013,19637,27086,47754
22721,15463,16262,20770,12568,28239,29101,14431,16008,6840,45853,52564,27735,14287,45942,20876,52757,13154,21580,49495,24281,39857,21181,23091,11825,0,32601,44177,25154,23556,21669,52084,46372,45103,21761,22846,24227,16419,46562,52393,24012,33107,48897,21048,22283,20695,32166,22650,14705,23074,18004,11128,17513,50525,27403,44454,44816,12669,16952,3430.2,22602,30534,32920,22742,48159,37118,28442,1339.5,19570,54428,52855,16804,22134,31540,52116,11261,51850,15386,16013,42231,33522,52254,31071,37563,28972,38112,31426,19251,46622,51007,21452,29045,28768,45501,19361,20848,46659,19301,42371,48637,46530,27684,19163,29152,36514,58002
17011,38265,37343,29732,22512,47458,45443,23711,42039,30023,19280,22569,44148,45094,15565,18593,23404,39560,42791,19101,43459,11057,42016,50295,21901,32601,0,14525,53214,25954,46251,22941,18612,14113,22117,45180,49957,24836,16040,23079,14206,12108,19219,41483,47280,21646,43001,40356,38543,35942,42850,38767,24302,19908,50998,20022,15824,39164,39118,32500,49700,7324.7,34021,21757,18237,6742,51705,33792,23483,24560,23322,36051,25523,44227,23028,38975,21606,42878,28160,13913,50519,22354,46631,9878.6,46763,8707.4,56444,37277,17685,20523,14952,57013,48944,17015,43533,36887,16016,42522,14992,19616,17928,36478,45632,12574,14267,28621
